t_ms,base_yaw,base_pitch,elbow_pitch,wrist_roll,wrist_pitch
6487.2,7.45,-97.45,99.91,0.04,-47.56
6540.1,7.45,-97.45,99.91,0.04,-47.56
6596.1,7.45,-97.45,99.91,0.04,-47.56
6652.1,7.45,-97.45,99.91,0.04,-47.56
6708.1,7.45,-97.45,99.91,0.04,-47.56
6764.1,7.45,-97.45,99.91,0.04,-47.56
6819.3,7.45,-97.45,99.91,0.04,-47.56
6875.3,7.45,-97.45,99.91,0.04,-47.56
6931.3,7.45,-97.45,99.91,0.04,-47.56
6987.4,7.45,-97.45,99.91,0.04,-47.56
7043.4,7.45,-97.45,99.91,0.04,-47.56
7096.5,7.45,-97.45,99.91,0.04,-47.56
7148.0,7.45,-97.45,99.91,0.04,-47.56
7203.0,7.45,-97.45,99.91,0.04,-47.56
7254.7,7.45,-97.45,99.91,0.04,-47.56
7310.7,7.45,-97.45,99.91,0.04,-47.56
7366.7,7.45,-97.45,99.91,0.04,-47.56
7420.0,7.45,-97.45,99.91,0.04,-47.56
7476.1,7.45,-97.45,99.91,0.04,-47.56
7530.9,7.45,-97.45,99.91,0.04,-47.56
7586.1,7.45,-97.45,99.91,0.04,-47.56
7642.1,7.45,-97.45,99.91,0.04,-47.56
7698.1,7.45,-97.45,99.91,0.04,-47.56
7750.7,7.45,-97.45,99.91,0.04,-47.56
7802.8,7.45,-97.45,99.91,0.04,-47.56
7858.7,7.45,-97.45,99.91,0.04,-47.56
7910.1,7.45,-97.45,99.91,0.04,-47.56
7963.1,7.45,-97.45,99.91,0.04,-47.56
8017.4,7.45,-97.45,99.91,0.04,-47.56
8073.4,7.45,-97.45,99.91,0.04,-47.56
8129.4,7.45,-97.45,99.91,0.04,-47.56
8185.3,7.45,-97.45,99.91,0.04,-47.56
8241.3,7.45,-97.45,99.91,0.04,-47.56
8293.9,7.45,-97.45,99.91,0.04,-47.56
8348.0,7.45,-97.45,99.91,0.04,-47.56
8404.2,7.45,-97.45,99.91,0.04,-47.56
8460.3,7.45,-97.45,99.91,0.04,-47.56
8516.2,7.45,-97.45,99.91,0.04,-47.56
8572.3,7.45,-97.45,99.91,0.04,-47.56
8628.4,7.45,-97.45,99.91,0.04,-47.56
8680.8,7.45,-97.45,99.91,0.04,-47.56
8732.3,7.45,-97.45,99.91,0.04,-47.56
8785.4,7.45,-97.45,99.91,0.04,-47.56
8841.5,7.45,-97.45,99.91,0.04,-47.56
8897.5,7.45,-97.45,99.91,0.04,-47.56
8953.6,7.45,-97.45,99.91,0.04,-47.56
9008.9,7.45,-97.45,99.91,0.04,-47.56
