timestamp,base_yaw.pos,base_pitch.pos,elbow_pitch.pos,wrist_roll.pos,wrist_pitch.pos
281292.323493041,8.512820512820525,-100.0,100.0,-9.631147540983605,-99.71711456859971
281292.361762375,8.512820512820525,-100.0,100.0,-9.631147540983605,-99.71711456859971
281292.395781916,8.512820512820525,-100.0,100.0,-9.631147540983605,-99.71711456859971
281292.434138291,8.512820512820525,-100.0,100.0,-9.631147540983605,-99.71711456859971
281292.468143083,8.512820512820525,-100.0,100.0,-9.631147540983605,-99.71711456859971
281292.506483708,8.512820512820525,-100.0,100.0,-9.631147540983605,-99.71711456859971
281292.544836333,8.512820512820525,-100.0,100.0,-9.631147540983605,-99.71711456859971
281292.583190208,8.512820512820525,-100.0,100.0,-9.631147540983605,-99.71711456859971
281292.621539833,8.512820512820525,-100.0,100.0,-9.631147540983605,-99.71711456859971
281292.659892625,8.512820512820525,-100.0,100.0,-9.631147540983605,-99.71711456859971
281292.69826,8.512820512820525,-100.0,100.0,-9.631147540983605,-99.71711456859971
281292.7364815,8.512820512820525,-100.0,100.0,-9.631147540983605,-99.71711456859971
281292.773225666,8.512820512820525,-100.0,100.0,-9.631147540983605,-99.71711456859971
281292.811574416,8.512820512820525,-100.0,100.0,-9.631147540983605,-99.71711456859971
281292.849917333,8.512820512820525,-100.0,100.0,-9.631147540983605,-99.71711456859971
281292.888271583,8.512820512820525,-100.0,100.0,-9.631147540983605,-99.71711456859971
281292.92431825,8.512820512820525,-100.0,100.0,-9.631147540983605,-99.71711456859971
281292.962668166,8.512820512820525,-100.0,100.0,-9.631147540983605,-99.71711456859971
281293.001021666,8.512820512820525,-100.0,100.0,-9.631147540983605,-99.71711456859971
281293.03939575,8.512820512820525,-100.0,100.0,-9.631147540983605,-99.71711456859971
281293.077753958,8.512820512820525,-100.0,100.0,-9.631147540983605,-99.71711456859971
281293.116113041,8.512820512820525,-100.0,100.0,-9.631147540983605,-99.71711456859971
281293.154470041,8.512820512820525,-100.0,100.0,-9.631147540983605,-99.71711456859971
281293.192810916,8.512820512820525,-100.0,100.0,-9.631147540983605,-99.71711456859971
281293.231151666,8.512820512820525,-100.0,100.0,-9.631147540983605,-99.71711456859971
281293.269501375,8.512820512820525,-100.0,100.0,-9.631147540983605,-99.71711456859971
281293.307852166,8.512820512820525,-100.0,100.0,-9.631147540983605,-99.71711456859971
281293.346205375,8.512820512820525,-100.0,100.0,-9.631147540983605,-99.71711456859971
281293.384559416,8.512820512820525,-100.0,100.0,-9.631147540983605,-99.71711456859971
281293.42255625,8.512820512820525,-100.0,100.0,-9.631147540983605,-99.71711456859971
281293.460926708,8.512820512820525,-100.0,100.0,-9.631147540983605,-99.71711456859971
281293.499282083,8.512820512820525,-100.0,100.0,-9.631147540983605,-99.71711456859971
281293.536488666,8.512820512820525,-100.0,100.0,-9.631147540983605,-99.71711456859971
281293.574825875,8.512820512820525,-100.0,100.0,-9.631147540983605,-99.71711456859971
281293.613166083,8.512820512820525,-100.0,100.0,-9.631147540983605,-99.71711456859971
281293.651517541,8.512820512820525,-100.0,100.0,-9.631147540983605,-99.71711456859971
281293.689870875,8.512820512820525,-100.0,100.0,-9.631147540983605,-99.71711456859971
281293.725999666,8.512820512820525,-100.0,100.0,-9.631147540983605,-99.71711456859971
281293.764351833,8.410256410256409,-100.0,100.0,-9.631147540983605,-99.71711456859971
281293.802697708,8.410256410256409,-100.0,100.0,-9.631147540983605,-99.71711456859971
281293.837887666,8.410256410256409,-100.0,100.0,-9.631147540983605,-99.71711456859971
281293.876234333,8.410256410256409,-100.0,100.0,-9.631147540983605,-99.71711456859971
281293.9145765,8.307692307692307,-100.0,100.0,-9.631147540983605,-99.71711456859971
281293.952918375,8.205128205128204,-100.0,100.0,-9.631147540983605,-99.71711456859971
281293.991265833,8.205128205128204,-100.0,100.0,-9.631147540983605,-99.71711456859971
281294.029264875,8.205128205128204,-100.0,100.0,-9.631147540983605,-99.71711456859971
281294.067618166,8.205128205128204,-100.0,100.0,-9.631147540983605,-99.71711456859971
281294.105969916,8.205128205128204,-100.0,100.0,-9.631147540983605,-99.71711456859971
281294.144341291,8.205128205128204,-100.0,100.0,-9.631147540983605,-99.71711456859971
281294.182717375,8.205128205128204,-100.0,100.0,-9.631147540983605,-99.71711456859971
281294.221078166,8.205128205128204,-100.0,100.0,-9.631147540983605,-99.71711456859971
281294.259289875,8.205128205128204,-100.0,100.0,-9.631147540983605,-99.71711456859971
281294.297631208,8.205128205128204,-100.0,100.0,-9.631147540983605,-99.71711456859971
281294.332598083,8.205128205128204,-100.0,100.0,-9.631147540983605,-99.71711456859971
281294.370949166,8.307692307692307,-100.0,100.0,-9.631147540983605,-99.71711456859971
281294.409300875,8.307692307692307,-100.0,100.0,-9.631147540983605,-99.71711456859971
281294.447651583,8.205128205128204,-100.0,100.0,-9.631147540983605,-99.71711456859971
281294.486005625,8.205128205128204,-100.0,100.0,-9.631147540983605,-99.71711456859971
281294.524391708,8.102564102564088,-100.0,100.0,-9.631147540983605,-99.71711456859971
281294.562751166,8.102564102564088,-100.0,100.0,-9.631147540983605,-99.71711456859971
281294.600630583,8.102564102564088,-100.0,100.0,-9.631147540983605,-99.71711456859971
281294.637954208,8.102564102564088,-100.0,100.0,-9.631147540983605,-99.71711456859971
281294.676294583,8.102564102564088,-100.0,100.0,-9.631147540983605,-99.71711456859971
281294.714634208,8.102564102564088,-100.0,100.0,-9.631147540983605,-99.71711456859971
281294.752985166,8.102564102564088,-100.0,100.0,-9.631147540983605,-99.71711456859971
281294.791336791,8.102564102564088,-100.0,100.0,-9.631147540983605,-99.71711456859971
281294.829688041,8.102564102564088,-100.0,100.0,-9.631147540983605,-99.71711456859971
281294.868039708,8.102564102564088,-100.0,100.0,-9.631147540983605,-99.71711456859971
281294.906429333,8.102564102564088,-100.0,100.0,-9.631147540983605,-99.71711456859971
281294.94480675,8.102564102564088,-100.0,100.0,-9.631147540983605,-99.71711456859971
281294.983174041,8.102564102564088,-100.0,100.0,-9.631147540983605,-99.71711456859971
281295.021517375,8.102564102564088,-100.0,100.0,-9.631147540983605,-99.71711456859971
281295.059855083,8.205128205128204,-100.0,100.0,-9.631147540983605,-99.71711456859971
281295.09820525,8.307692307692307,-100.0,100.0,-9.631147540983605,-99.43422913719944
281295.136556166,8.205128205128204,-100.0,100.0,-9.733606557377044,-99.15134370579915
281295.174146416,8.205128205128204,-100.0,100.0,-9.733606557377044,-99.00990099009901
281295.212496041,8.205128205128204,-100.0,100.0,-9.733606557377044,-99.00990099009901
281295.250872208,8.205128205128204,-100.0,100.0,-9.631147540983605,-99.00990099009901
281295.28868925,8.205128205128204,-100.0,100.0,-9.631147540983605,-98.86845827439888
281295.327056833,8.205128205128204,-100.0,100.0,-9.631147540983605,-98.86845827439888
281295.36540975,8.205128205128204,-100.0,100.0,-9.631147540983605,-98.86845827439888
281295.403750541,8.205128205128204,-100.0,100.0,-9.631147540983605,-98.86845827439888
281295.442090875,8.205128205128204,-100.0,100.0,-9.631147540983605,-98.86845827439888
281295.480441625,8.205128205128204,-100.0,100.0,-9.631147540983605,-98.86845827439888
281295.518794208,8.205128205128204,-100.0,100.0,-9.631147540983605,-98.86845827439888
281295.5571485,8.205128205128204,-100.0,100.0,-9.631147540983605,-98.86845827439888
